Označení;h;b;s;t;A
IPN 80;80;42;3,9;5,9;7,6
IPN 100;100;50;4,5;6,8;10,6
IPN 120;120;58;5,1;7,7;14,2
IPN 140;140;66;5,7;8,6;18,2
IPN 160;160;74;6,3;9,5;22,8
IPN 180;180;82;6,9;10,4;27,9
IPN 200;200;90;7,5;11,3;33,4
IPN 220;220;98;8,1;12,2;39,5
IPN 240;240;106;8,7;13,1;46,1
IPN 260;260;113;9,4;14,1;53,3
IPN 280;280;119;10,1;15,2;61
IPN 300;300;125;10,8;16,2;69
IPN 320;320;131;11,5;17,3;77,7
IPN 340;340;137;12,2;18,3;86,7
IPN 360;360;143;13;19,5;97
IPN 380;380;149;13,7;20,5;107
IPN 400;400;155;14,4;21,6;117,7
IPN 450;450;170;16,2;24,3;146,9
IPN 500;500;185;18;27;179,4
IPN 550;550;200;19;30;212
IPN 600;600;215;21,6;32,4;253,7
